No.,Time,Source,Destination,Protocol,Length,Type,Duration,,,Total Duration
43869,562.189454,147.32.83.230,10.8.0.117,WebSocket,55,in,1.610066 ,,1198,
43870,562.190961,10.8.0.117,147.32.83.230,TCP,52,out,0.001507 ,,1219,
43884,587.232395,10.8.0.117,147.32.83.230,WebSocket,59,out,25.041434 ,,1240,
43885,587.431183,147.32.83.230,10.8.0.117,TCP,52,in,0.198788 ,,1261,
43886,589.903198,147.32.83.230,10.8.0.117,WebSocket,55,in,2.472015 ,,1282,
43887,589.904587,10.8.0.117,147.32.83.230,TCP,52,out,0.001389 ,,1303,
43892,614.946641,10.8.0.117,147.32.83.230,WebSocket,59,out,25.042054 ,,1324,
43893,615.236264,147.32.83.230,10.8.0.117,TCP,52,in,0.289623 ,,1345,
43896,640.002499,10.8.0.117,147.32.83.230,TCP,52,out,24.766235 ,,1366,
43897,640.252251,10.8.0.117,147.32.83.230,TCP,52,out,0.249752 ,,1387,
43898,640.504071,10.8.0.117,147.32.83.230,TCP,52,out,0.251820 ,,1408,
43899,641.008288,10.8.0.117,147.32.83.230,TCP,52,out,0.504217 ,,1429,
43900,642.016178,10.8.0.117,147.32.83.230,TCP,52,out,1.007890 ,,1450,
43901,644.0363,10.8.0.117,147.32.83.230,TCP,52,out,2.020122 ,,1471,
43905,648.076219,10.8.0.117,147.32.83.230,TCP,52,out,4.039919 ,,1492,
43906,656.20025,10.8.0.117,147.32.83.230,TCP,52,out,8.124031 ,,1513,
43907,657.492468,147.32.83.230,10.8.0.117,WebSocket,55,in,1.292218 ,,1534,
43908,657.493972,10.8.0.117,147.32.83.230,TCP,52,out,0.001504 ,,1555,
43913,672.352653,10.8.0.117,147.32.83.230,TCP,52,out,14.858681 ,,1576,
43914,682.535842,10.8.0.117,147.32.83.230,WebSocket,59,out,10.183189 ,,,
43915,682.747884,147.32.83.230,10.8.0.117,TCP,52,in,0.212042 ,,,
43916,684.036581,147.32.83.230,10.8.0.117,WebSocket,55,in,1.288697 ,,,
43917,684.038117,10.8.0.117,147.32.83.230,TCP,52,out,0.001536 ,,,
43918,697.873451,147.32.83.230,10.8.0.117,WebSocket,109,in,13.835334 ,,,
43919,697.875058,10.8.0.117,147.32.83.230,TCP,52,out,0.001607 ,,,
43920,697.878577,10.8.0.117,147.32.83.230,TCP,1401,out,0.003519 ,,,
43921,697.878611,10.8.0.1,10.8.0.117,ICMP,576,in,0.000034 ,,,
43922,697.87864,10.8.0.117,147.32.83.230,TCP,1401,out,0.000029 ,,,
43923,697.878657,10.8.0.1,10.8.0.117,ICMP,576,in,0.000017 ,,,
43924,697.879525,10.8.0.117,147.32.83.230,WebSocket,78,out,0.000868 ,,,
43925,697.879866,10.8.0.117,147.32.83.230,TCP,1400,out,0.000341 ,,,
43926,697.879926,10.8.0.117,147.32.83.230,TCP,1400,out,0.000060 ,,,
43927,697.879926,147.32.83.230,10.8.0.117,TCP,64,in,0.000000 ,,,
43928,697.880479,147.32.83.230,10.8.0.117,TCP,64,in,0.000553 ,,,
43929,697.880496,147.32.83.230,10.8.0.117,TCP,64,in,0.000017 ,,,
43930,697.880548,10.8.0.117,147.32.83.230,TCP,54,out,0.000052 ,,,
43931,697.880882,147.32.83.230,10.8.0.117,TCP,52,in,0.000334 ,,,
43932,704.732901,10.8.0.117,147.32.83.230,TCP,52,out,6.852019 ,,,
43960,709.079429,10.8.0.117,147.32.83.230,WebSocket,59,out,4.346528 ,,,
43961,709.279403,147.32.83.230,10.8.0.117,TCP,52,in,0.199974 ,,,
43962,769.037629,147.32.83.230,10.8.0.117,WebSocket,56,in,59.758226 ,,,
43963,769.077825,10.8.0.117,147.32.83.230,TCP,52,out,0.040196 ,,,
43964,769.121618,10.8.0.117,147.32.83.230,TCP,52,out,0.043793 ,,,
43965,769.121992,147.32.83.230,10.8.0.117,TCP,52,in,0.000374 ,,,
43966,770.432248,10.8.0.117,147.32.83.230,TCP,60,out,1.310256 ,,,
43967,770.43287,147.32.83.230,10.8.0.117,TCP,60,in,0.000622 ,,,
43968,770.434191,10.8.0.117,147.32.83.230,TCP,52,out,0.001321 ,,,
43969,770.434523,10.8.0.117,147.32.83.230,HTTP,320,out,0.000332 ,,,
43970,770.638178,10.8.0.117,147.32.83.230,TCP,320,out,0.203655 ,,,
43971,770.638692,147.32.83.230,10.8.0.117,TCP,64,in,0.000514 ,,,
43972,771.00426,147.32.83.230,10.8.0.117,TCP,52,in,0.365568 ,,,
43973,771.005632,10.8.0.117,147.32.83.230,TCP,52,out,0.001372 ,,,
43974,771.02381,147.32.83.230,10.8.0.117,HTTP,363,in,0.018178 ,,,
43975,771.02502,10.8.0.117,147.32.83.230,TCP,52,out,0.001210 ,,,
43976,771.032435,10.8.0.117,147.32.83.230,TCP,60,out,0.007415 ,,,
43977,771.032495,10.8.0.117,147.32.83.230,HTTP,345,out,0.000060 ,,,
43978,771.032887,147.32.83.230,10.8.0.117,TCP,60,in,0.000392 ,,,
43979,771.034285,10.8.0.117,147.32.83.230,TCP,52,out,0.001398 ,,,
43980,771.035458,10.8.0.117,147.32.83.230,HTTP,379,out,0.001173 ,,,
43981,771.053344,147.32.83.230,10.8.0.117,HTTP,265,in,0.017886 ,,,
43982,771.05645,10.8.0.117,147.32.83.230,HTTP,345,out,0.003106 ,,,
43983,771.066108,147.32.83.230,10.8.0.117,HTTP,181,in,0.009658 ,,,
43984,771.067799,10.8.0.117,147.32.83.230,TCP,52,out,0.001691 ,,,
43985,771.069749,10.8.0.117,147.32.83.230,WebSocket,64,out,0.001950 ,,,
43986,771.07609,147.32.83.230,10.8.0.117,WebSocket,60,in,0.006341 ,,,
43987,771.114057,10.8.0.117,147.32.83.230,TCP,52,out,0.037967 ,,,
43988,771.226834,147.32.83.230,10.8.0.117,HTTP,264,in,0.112777 ,,,
43989,771.230355,10.8.0.117,147.32.83.230,WebSocket,59,out,0.003521 ,,,
43990,771.270047,10.8.0.117,147.32.83.230,TCP,52,out,0.039692 ,,,
43991,771.482164,10.8.0.117,147.32.83.230,TCP,59,out,0.212117 ,,,
43992,771.48266,147.32.83.230,10.8.0.117,TCP,64,in,0.000496 ,,,
43993,796.074107,10.8.0.117,147.32.83.230,WebSocket,59,out,24.591447 ,,,
43994,796.272042,147.32.83.230,10.8.0.117,TCP,52,in,0.197935 ,,,
43995,806.307839,147.32.83.230,10.8.0.117,WebSocket,55,in,10.035797 ,,,
43996,806.309036,10.8.0.117,147.32.83.230,TCP,52,out,0.001197 ,,,
43997,831.34364,10.8.0.117,147.32.83.230,WebSocket,59,out,25.034604 ,,,
43998,831.545316,147.32.83.230,10.8.0.117,TCP,52,in,0.201676 ,,,
43999,850.170666,147.32.83.230,10.8.0.117,WebSocket,55,in,18.625350 ,,,
44000,850.172033,10.8.0.117,147.32.83.230,TCP,52,out,0.001367 ,,,
44001,875.213605,10.8.0.117,147.32.83.230,WebSocket,59,out,25.041572 ,,,
44002,875.4201,147.32.83.230,10.8.0.117,TCP,52,in,0.206495 ,,,
44003,877.011582,147.32.83.230,10.8.0.117,WebSocket,55,in,1.591482 ,,,
44004,877.013041,10.8.0.117,147.32.83.230,TCP,52,out,0.001459 ,,,
44005,887.230192,147.32.83.230,10.8.0.117,WebSocket,103,in,10.217151 ,,,
44006,887.231531,10.8.0.117,147.32.83.230,TCP,52,out,0.001339 ,,,
44007,887.233892,10.8.0.117,147.32.83.230,WebSocket,144,out,0.002361 ,,,
44008,887.436472,147.32.83.230,10.8.0.117,TCP,52,in,0.202580 ,,,
44009,891.227596,147.32.83.230,10.8.0.117,TCP,52,in,3.791124 ,,,
44010,891.267682,10.8.0.117,147.32.83.230,TCP,52,out,0.040086 ,,,
44011,902.039054,10.8.0.117,147.32.83.230,WebSocket,59,out,10.771372 ,,,
44012,902.287778,147.32.83.230,10.8.0.117,TCP,52,in,0.248724 ,,,
44013,909.463914,147.32.83.230,10.8.0.117,WebSocket,55,in,7.176136 ,,,
44014,909.50396,10.8.0.117,147.32.83.230,TCP,52,out,0.040046 ,,,
44019,934.489676,10.8.0.117,147.32.83.230,WebSocket,59,out,24.985716 ,,,
44020,934.701745,147.32.83.230,10.8.0.117,TCP,52,in,0.212069 ,,,
44021,937.212748,147.32.83.230,10.8.0.117,WebSocket,55,in,2.511003 ,,,
44022,937.214026,10.8.0.117,147.32.83.230,TCP,52,out,0.001278 ,,,
44025,962.255599,10.8.0.117,147.32.83.230,WebSocket,59,out,25.041573 ,,,
44026,962.468292,147.32.83.230,10.8.0.117,TCP,52,in,0.212693 ,,,
44031,976.849809,147.32.83.230,10.8.0.117,WebSocket,95,in,14.381517 ,,,
44032,976.85119,10.8.0.117,147.32.83.230,TCP,52,out,0.001381 ,,,
44033,976.859099,147.32.83.230,10.8.0.117,WebSocket,95,in,0.007909 ,,,
44034,976.860159,10.8.0.117,147.32.83.230,TCP,52,out,0.001060 ,,,
44035,976.897949,147.32.83.230,10.8.0.117,WebSocket,95,in,0.037790 ,,,
44036,976.899229,10.8.0.117,147.32.83.230,TCP,52,out,0.001280 ,,,
44037,976.96356,10.8.0.117,147.32.83.230,WebSocket,127,out,0.064331 ,,,
44038,976.963947,10.8.0.117,147.32.83.230,TCP,1400,out,0.000387 ,,,
44039,976.964007,10.8.0.117,147.32.83.230,TCP,1400,out,0.000060 ,,,
44040,976.964448,147.32.83.230,10.8.0.117,TCP,52,in,0.000441 ,,,
44041,976.965539,10.8.0.117,147.32.83.230,WebSocket,1072,out,0.001091 ,,,
44042,976.96602,147.32.83.230,10.8.0.117,TCP,52,in,0.000481 ,,,
44043,981.138642,147.32.83.230,10.8.0.117,WebSocket,55,in,4.172622 ,,,
44044,981.140183,10.8.0.117,147.32.83.230,TCP,52,out,0.001541 ,,,
44047,1006.173542,10.8.0.117,147.32.83.230,WebSocket,59,out,25.033359 ,,,
44048,1006.17435,147.32.83.230,10.8.0.117,WebSocket,55,in,0.000808 ,,,
44049,1006.175747,10.8.0.117,147.32.83.230,TCP,52,out,0.001397 ,,,
44054,1031.220291,10.8.0.117,147.32.83.230,WebSocket,59,out,25.044544 ,,,
44055,1031.420645,147.32.83.230,10.8.0.117,TCP,52,in,0.200354 ,,,
44056,1045.867133,147.32.83.230,10.8.0.117,WebSocket,55,in,14.446488 ,,,
44057,1045.868723,10.8.0.117,147.32.83.230,TCP,52,out,0.001590 ,,,
44058,1070.910312,10.8.0.117,147.32.83.230,WebSocket,59,out,25.041589 ,,,
44059,1070.914099,147.32.83.230,10.8.0.117,WebSocket,55,in,0.003787 ,,,
44060,1070.915313,10.8.0.117,147.32.83.230,TCP,52,out,0.001214 ,,,
44061,1071.227267,147.32.83.230,10.8.0.117,WebSocket,95,in,0.311954 ,,,
44062,1071.228863,10.8.0.117,147.32.83.230,TCP,52,out,0.001596 ,,,
44063,1071.273213,10.8.0.117,147.32.83.230,TCP,52,out,0.044350 ,,,
44064,1071.542737,10.8.0.117,147.32.83.230,TCP,52,out,0.269524 ,,,
44065,1071.87539,10.8.0.117,147.32.83.230,TCP,52,out,0.332653 ,,,
44066,1072.489727,10.8.0.117,147.32.83.230,TCP,52,out,0.614337 ,,,
44067,1073.726879,10.8.0.117,147.32.83.230,TCP,52,out,1.237152 ,,,
44068,1076.194314,10.8.0.117,147.32.83.230,TCP,52,out,2.467435 ,,,
44069,1081.137873,10.8.0.117,147.32.83.230,TCP,52,out,4.943559 ,,,
44070,1091.010937,10.8.0.117,147.32.83.230,TCP,52,out,9.873064 ,,,
44071,1095.962828,10.8.0.117,147.32.83.230,WebSocket,59,out,4.951891 ,,,
44072,1095.965549,147.32.83.230,10.8.0.117,WebSocket,55,in,0.002721 ,,,
44073,1095.966737,10.8.0.117,147.32.83.230,TCP,52,out,0.001188 ,,,
44074,1110.754845,10.8.0.117,147.32.83.230,TCP,52,out,14.788108 ,,,
44075,1121.010419,10.8.0.117,147.32.83.230,WebSocket,59,out,10.255574 ,,,
44076,1121.011272,147.32.83.230,10.8.0.117,WebSocket,55,in,0.000853 ,,,
44077,1121.012393,10.8.0.117,147.32.83.230,TCP,52,out,0.001121 ,,,
44078,1146.039266,10.8.0.117,147.32.83.230,WebSocket,59,out,25.026873 ,,,
44079,1146.249226,147.32.83.230,10.8.0.117,TCP,52,in,0.209960 ,,,
44080,1150.306911,10.8.0.117,147.32.83.230,TCP,52,out,4.057685 ,,,
44081,1165.695734,147.32.83.230,10.8.0.117,WebSocket,55,in,15.388823 ,,,
44082,1165.697157,10.8.0.117,147.32.83.230,TCP,52,out,0.001423 ,,,
44086,1190.740206,10.8.0.117,147.32.83.230,WebSocket,59,out,25.043049 ,,,
44087,1190.95301,147.32.83.230,10.8.0.117,TCP,52,in,0.212804 ,,,
44088,1198.675266,147.32.83.230,10.8.0.117,WebSocket,55,in,7.722256 ,,,
44089,1198.676643,10.8.0.117,147.32.83.230,TCP,52,out,0.001377 ,,,
44090,1223.728605,10.8.0.117,147.32.83.230,WebSocket,59,out,25.051962 ,,,
44091,1224.015745,147.32.83.230,10.8.0.117,TCP,52,in,0.287140 ,,,
44092,1225.752909,147.32.83.230,10.8.0.117,WebSocket,55,in,1.737164 ,,,
44093,1225.754375,10.8.0.117,147.32.83.230,TCP,52,out,0.001466 ,,,
44094,1244.420932,147.32.83.230,10.8.0.117,WebSocket,95,in,18.666557 ,,,
44095,1244.422351,10.8.0.117,147.32.83.230,TCP,52,out,0.001419 ,,,
44096,1244.478509,10.8.0.117,147.32.83.230,WebSocket,127,out,0.056158 ,,,
44097,1244.478821,10.8.0.117,147.32.83.230,TCP,1400,out,0.000312 ,,,
44098,1244.479392,147.32.83.230,10.8.0.117,TCP,52,in,0.000571 ,,,
44099,1244.480485,10.8.0.117,147.32.83.230,WebSocket,1138,out,0.001093 ,,,
44100,1244.687393,147.32.83.230,10.8.0.117,TCP,52,in,0.206908 ,,,
44101,1249.654094,147.32.83.230,10.8.0.117,WebSocket,95,in,4.966701 ,,,
44102,1249.655376,10.8.0.117,147.32.83.230,TCP,52,out,0.001282 ,,,
44103,1249.708221,10.8.0.117,147.32.83.230,WebSocket,127,out,0.052845 ,,,
44104,1249.70852,10.8.0.117,147.32.83.230,TCP,1400,out,0.000299 ,,,
44105,1249.709032,147.32.83.230,10.8.0.117,TCP,52,in,0.000512 ,,,
44106,1249.710047,10.8.0.117,147.32.83.230,WebSocket,1118,out,0.001015 ,,,
44107,1249.933522,147.32.83.230,10.8.0.117,TCP,52,in,0.223475 ,,,
44108,1250.793138,10.8.0.117,147.32.83.230,WebSocket,59,out,0.859616 ,,,
44109,1251.033444,147.32.83.230,10.8.0.117,TCP,52,in,0.240306 ,,,
44110,1265.774401,147.32.83.230,10.8.0.117,WebSocket,55,in,14.740957 ,,,
44111,1265.775906,10.8.0.117,147.32.83.230,TCP,52,out,0.001505 ,,,
44112,1290.848367,10.8.0.117,147.32.83.230,WebSocket,59,out,25.072461 ,,,
44113,1291.06287,147.32.83.230,10.8.0.117,TCP,52,in,0.214503 ,,,
44114,1296.523177,147.32.83.230,10.8.0.117,WebSocket,55,in,5.460307 ,,,
44115,1296.524584,10.8.0.117,147.32.83.230,TCP,52,out,0.001407 ,,,
44116,1321.533124,10.8.0.117,147.32.83.230,WebSocket,59,out,25.008540 ,,,
44117,1321.735482,147.32.83.230,10.8.0.117,TCP,52,in,0.202358 ,,,
44118,1345.699562,147.32.83.230,10.8.0.117,WebSocket,55,in,23.964080 ,,,
44119,1345.700951,10.8.0.117,147.32.83.230,TCP,52,out,0.001389 ,,,
44120,1370.730725,10.8.0.117,147.32.83.230,WebSocket,59,out,25.029774 ,,,
44121,1370.938281,147.32.83.230,10.8.0.117,TCP,52,in,0.207556 ,,,
44122,1376.366303,147.32.83.230,10.8.0.117,WebSocket,55,in,5.428022 ,,,
44123,1376.367628,10.8.0.117,147.32.83.230,TCP,52,out,0.001325 ,,,
44124,1397.73084,147.32.83.230,10.8.0.117,WebSocket,109,in,21.363212 ,,,
44125,1397.732305,10.8.0.117,147.32.83.230,TCP,52,out,0.001465 ,,,
44126,1397.734697,10.8.0.117,147.32.83.230,TCP,1401,out,0.002392 ,,,
44127,1397.734729,10.8.0.1,10.8.0.117,ICMP,576,in,0.000032 ,,,
44128,1397.734758,10.8.0.117,147.32.83.230,TCP,1401,out,0.000029 ,,,
44129,1397.734772,10.8.0.1,10.8.0.117,ICMP,576,in,0.000014 ,,,
44130,1397.735016,10.8.0.117,147.32.83.230,WebSocket,78,out,0.000244 ,,,
44131,1397.735383,147.32.83.230,10.8.0.117,TCP,64,in,0.000367 ,,,
44132,1397.735847,10.8.0.117,147.32.83.230,TCP,1400,out,0.000464 ,,,
44133,1397.735969,10.8.0.117,147.32.83.230,TCP,1400,out,0.000122 ,,,
44134,1397.73624,10.8.0.117,147.32.83.230,TCP,54,out,0.000271 ,,,
44135,1397.7363,147.32.83.230,10.8.0.117,TCP,64,in,0.000060 ,,,
44136,1397.736361,147.32.83.230,10.8.0.117,TCP,64,in,0.000061 ,,,
44137,1397.736529,147.32.83.230,10.8.0.117,TCP,52,in,0.000168 ,,,
44138,1401.409066,10.8.0.117,147.32.83.230,WebSocket,59,out,3.672537 ,,,
44139,1401.409937,147.32.83.230,10.8.0.117,WebSocket,55,in,0.000871 ,,,
44140,1401.449877,10.8.0.117,147.32.83.230,TCP,52,out,0.039940 ,,,
44141,1426.453015,10.8.0.117,147.32.83.230,WebSocket,59,out,25.003138 ,,,
44142,1426.453738,147.32.83.230,10.8.0.117,WebSocket,55,in,0.000723 ,,,
44143,1426.454849,10.8.0.117,147.32.83.230,TCP,52,out,0.001111 ,,,
44144,1428.34935,147.32.83.230,10.8.0.117,WebSocket,116,in,1.894501 ,,,
44145,1428.352381,10.8.0.117,147.32.83.230,TCP,52,out,0.003031 ,,,
44146,1428.365254,10.8.0.117,147.32.83.230,WebSocket,714,out,0.012873 ,,,
44147,1428.562652,147.32.83.230,10.8.0.117,TCP,52,in,0.197398 ,,,
44152,1451.498945,10.8.0.117,147.32.83.230,WebSocket,59,out,22.936293 ,,,
44153,1451.503652,147.32.83.230,10.8.0.117,WebSocket,55,in,0.004707 ,,,
44154,1451.550251,10.8.0.117,147.32.83.230,TCP,52,out,0.046599 ,,,
44159,1467.202262,147.32.83.230,10.8.0.117,WebSocket,125,in,15.652011 ,,,
44160,1467.204295,10.8.0.117,147.32.83.230,TCP,52,out,0.002033 ,,,
44161,1467.209529,10.8.0.117,147.32.83.230,WebSocket,682,out,0.005234 ,,,
44162,1467.422597,147.32.83.230,10.8.0.117,TCP,52,in,0.213068 ,,,
44163,1476.566057,10.8.0.117,147.32.83.230,WebSocket,59,out,9.143460 ,,,
44164,1476.566774,147.32.83.230,10.8.0.117,WebSocket,55,in,0.000717 ,,,
44165,1476.606993,10.8.0.117,147.32.83.230,TCP,52,out,0.040219 ,,,
44166,1501.587834,10.8.0.117,147.32.83.230,WebSocket,59,out,24.980841 ,,,
44167,1501.797576,147.32.83.230,10.8.0.117,TCP,52,in,0.209742 ,,,
44168,1518.430055,147.32.83.230,10.8.0.117,WebSocket,149,in,16.632479 ,,,
44169,1518.431566,10.8.0.117,147.32.83.230,TCP,52,out,0.001511 ,,,
44170,1518.435246,10.8.0.117,147.32.83.230,WebSocket,159,out,0.003680 ,,,
44171,1518.439754,10.8.0.117,147.32.83.230,TCP,1400,out,0.004508 ,,,
44172,1518.439816,10.8.0.117,147.32.83.230,TCP,1400,out,0.000062 ,,,
44173,1518.439959,10.8.0.117,147.32.83.230,TCP,1400,out,0.000143 ,,,
44174,1518.440274,147.32.83.230,10.8.0.117,TCP,52,in,0.000315 ,,,
44175,1518.440357,147.32.83.230,10.8.0.117,TCP,52,in,0.000083 ,,,
44176,1518.440388,10.8.0.117,147.32.83.230,TCP,1400,out,0.000031 ,,,
44177,1518.441052,10.8.0.117,147.32.83.230,TCP,1400,out,0.000664 ,,,
44178,1518.441158,10.8.0.117,147.32.83.230,TCP,1400,out,0.000106 ,,,
44179,1518.441429,147.32.83.230,10.8.0.117,TCP,52,in,0.000271 ,,,
44180,1518.44144,10.8.0.117,147.32.83.230,TCP,1400,out,0.000011 ,,,
44181,1518.441499,10.8.0.117,147.32.83.230,TCP,1400,out,0.000059 ,,,
44182,1518.441868,147.32.83.230,10.8.0.117,TCP,52,in,0.000369 ,,,
44183,1518.442231,10.8.0.117,147.32.83.230,TCP,1400,out,0.000363 ,,,
44184,1518.442589,10.8.0.117,147.32.83.230,TCP,1400,out,0.000358 ,,,
44185,1518.442793,147.32.83.230,10.8.0.117,TCP,52,in,0.000204 ,,,
44186,1518.442877,10.8.0.117,147.32.83.230,TCP,1400,out,0.000084 ,,,
44187,1518.443205,10.8.0.117,147.32.83.230,TCP,1400,out,0.000328 ,,,
44188,1518.443395,147.32.83.230,10.8.0.117,TCP,52,in,0.000190 ,,,
44189,1518.443483,10.8.0.117,147.32.83.230,TCP,1400,out,0.000088 ,,,
44190,1518.443851,10.8.0.117,147.32.83.230,TCP,1400,out,0.000368 ,,,
44191,1518.443891,147.32.83.230,10.8.0.117,TCP,52,in,0.000040 ,,,
44192,1518.444183,10.8.0.117,147.32.83.230,TCP,1400,out,0.000292 ,,,
44193,1518.444628,147.32.83.230,10.8.0.117,TCP,52,in,0.000445 ,,,
44194,1518.444671,10.8.0.117,147.32.83.230,TCP,1400,out,0.000043 ,,,
44195,1518.444935,10.8.0.117,147.32.83.230,TCP,1400,out,0.000264 ,,,
44196,1518.44535,10.8.0.117,147.32.83.230,TCP,1400,out,0.000415 ,,,
44197,1518.445518,147.32.83.230,10.8.0.117,TCP,52,in,0.000168 ,,,
44198,1518.445622,10.8.0.117,147.32.83.230,TCP,1400,out,0.000104 ,,,
44199,1518.446067,147.32.83.230,10.8.0.117,TCP,52,in,0.000445 ,,,
44200,1518.446109,10.8.0.117,147.32.83.230,TCP,1400,out,0.000042 ,,,
44201,1518.446407,10.8.0.117,147.32.83.230,TCP,1400,out,0.000298 ,,,
44202,1518.446706,10.8.0.117,147.32.83.230,TCP,1400,out,0.000299 ,,,
44203,1518.446947,147.32.83.230,10.8.0.117,TCP,52,in,0.000241 ,,,
44204,1518.447036,10.8.0.117,147.32.83.230,TCP,1400,out,0.000089 ,,,
44205,1518.447367,10.8.0.117,147.32.83.230,TCP,1400,out,0.000331 ,,,
44206,1518.447428,147.32.83.230,10.8.0.117,TCP,52,in,0.000061 ,,,
44207,1518.447738,10.8.0.117,147.32.83.230,TCP,1400,out,0.000310 ,,,
44208,1518.4481,10.8.0.117,147.32.83.230,TCP,1400,out,0.000362 ,,,
44209,1518.448144,147.32.83.230,10.8.0.117,TCP,52,in,0.000044 ,,,
44210,1518.448551,10.8.0.117,147.32.83.230,TCP,1400,out,0.000407 ,,,
